time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
79,3.949091666,4.977945493,2.661906003,2.695631878,0.011624884,-0.048895845,0.355014235,1.753569424,182,0
80,3.872125006,5.129247588,1.410759371,3.399269239,0.000112788,-0.029489742,0.361921492,0.772738832,182,0
81,3.945144657,5.038795247,2.388808739,1.836691928,-0.001860714,-0.022582485,0.351396148,4.108616591,182,0
82,3.931987963,5.020375862,3.304343125,0.269017224,0.004059792,0.048792505,0.34777806,4.788817898,182,0
83,3.86784908,5.083856958,1.996437248,2.112092221,0.008993548,0.024452647,0.329687625,2.671577067,182,0
84,3.790553507,5.04241334,2.577509066,2.679509264,0.008664631,0.008006797,0.334950297,1.103300434,182,0
85,3.964221864,5.170033373,1.992653373,3.391372438,0.010638133,-0.011728224,0.317846613,2.529155942,182,0
86,3.904687823,5.074976183,2.723270645,2.51696702,0.001428456,0.00208629,0.319491198,2.221289516,191,0
87,3.904687823,5.017744521,3.703460672,2.829712813,0.01096705,-0.009754722,0.345804558,2.698548274,191,0
88,3.831010338,4.902294452,2.478141145,2.220179458,0.002744124,0.040240663,0.332318961,3.331056055,191,0
89,3.90139865,4.985839515,2.354095781,3.823722457,0.005375461,-0.041001837,0.330345459,2.194318314,191,0
90,3.683655378,5.192399772,2.133314828,0.50263013,0.011295967,0.043529833,0.330016542,3.505382205,191,0
91,3.799763192,4.857890582,2.673257639,2.836787023,-0.000216129,-0.052842849,0.331661127,1.846981871,191,0
92,3.989877418,5.059517055,3.055758533,1.668391789,-0.007123386,0.036293659,0.334950297,3.802065613,191,0
93,3.950407335,4.95261884,2.537367056,4.073952626,0.001099539,-0.029489742,0.330674376,2.35186961,191,0
94,3.855021304,5.008534828,2.605147828,3.351065855,0.008993548,0.028728568,0.351067231,1.290783139,191,0
95,3.874427427,5.074647265,2.001537254,4.082342989,-0.000873963,-0.08902372,0.356329903,1.78317196,191,0
96,3.896793807,5.111814955,2.697770592,0.478281742,0.008664631,0.079710703,0.356329903,3.130087625,191,0
97,3.893175716,5.134839188,2.050563116,1.321262555,0.015571888,0.054384094,0.352053982,4.949987499,191,0
